0,1,2,3,4,5,6,7,8,9
41.4,59.6,69.6,80.8,88.8,91.8,96.6,98.2,99.2,99.2
19.2,23.8,24.8,31.6,43.8,53.2,62.2,70.6,77.6,88.2
15.0,26.6,36.0,49.8,56.6,70.2,82.0,87.0,92.0,95.6
61.2,77.2,84.6,91.2,95.4,97.4,98.2,99.0,99.6,99.6
5.4,11.2,11.6,9.0,9.4,9.0,10.8,6.4,4.8,5.2
16.6,30.6,39.2,53.6,65.4,74.6,82.6,88.6,92.8,94.8
37.2,60.8,74.0,83.4,91.6,94.0,96.4,98.4,99.0,99.2
59.6,71.8,81.6,87.6,93.8,97.2,97.8,98.6,99.0,99.2
0.6,2.6,2.4,0.6,2.4,1.0,0.2,0.8,0.2,1.2
4.8,8.2,8.4,10.4,12.8,8.2,10.4,11.0,16.4,12.4
82.0,87.8,90.8,94.6,95.8,96.8,98.2,98.2,98.4,98.8
97.8,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
12.2,24.8,29.8,39.2,47.2,60.6,72.4,78.2,83.2,89.6
84.4,90.0,92.2,94.2,96.4,98.0,98.8,99.0,99.0,99.4
99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2
61.2,75.6,85.0,90.8,92.6,95.8,97.8,98.6,99.0,99.4
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
33.2,54.8,63.2,75.8,85.0,90.0,93.4,97.0,98.4,98.6
4.0,5.2,7.6,8.4,15.2,14.0,15.2,15.2,17.2,18.4
95.0,97.6,97.4,98.4,99.0,99.4,99.4,99.6,99.6,100.0
0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
4.4,8.2,5.6,14.4,10.8,14.2,16.2,19.0,19.6,19.6
36.2,51.8,63.0,78.2,89.6,94.0,97.0,99.2,99.6,99.6
32.2,47.4,63.6,78.6,88.2,92.2,96.0,97.0,98.2,99.0
5.8,4.0,6.2,8.0,12.8,14.2,11.8,16.4,15.8,16.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.0,89.4,92.2,94.0,94.6,97.2,99.0,99.6,100.0,100.0
39.2,57.8,68.6,80.0,88.8,91.6,96.4,97.8,99.0,99.4
39.2,61.4,73.2,84.0,90.0,92.0,96.4,98.4,97.8,98.2
62.6,79.4,83.2,91.8,95.0,96.8,97.0,97.6,98.2,98.8
0.0,0.8,1.8,2.4,1.0,0.6,3.2,2.6,1.2,1.4
64.0,78.4,87.0,92.2,95.0,95.6,97.4,98.6,99.6,99.8
35.4,55.4,75.6,82.4,87.2,92.0,95.6,97.0,98.2,99.0
94.0,97.0,98.2,99.0,99.4,99.6,100.0,100.0,100.0,100.0
0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0
42.4,61.2,71.0,84.4,90.0,94.0,96.0,97.8,98.6,99.2
64.8,81.8,88.4,91.4,95.2,96.4,97.4,98.2,98.2,98.4
1.2,2.8,0.4,2.8,0.4,4.0,0.2,4.0,1.2,3.6
5.2,9.2,7.0,11.0,8.8,8.0,10.0,13.4,12.8,13.6
84.0,89.6,91.0,93.8,95.4,95.8,97.0,98.4,98.8,99.2
93.6,96.2,96.2,97.6,98.0,98.0,98.6,99.2,99.8,100.0
31.6,50.0,67.8,79.2,87.8,95.6,96.2,98.4,99.4,99.8
92.4,96.4,98.2,99.2,99.6,100.0,100.0,100.0,100.0,100.0
83.6,87.6,88.4,93.2,96.8,98.0,99.6,99.6,99.4,99.6
15.2,25.0,29.8,49.0,59.2,69.4,79.4,85.4,90.8,94.8
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
79.8,88.0,91.4,92.2,95.4,97.6,99.0,99.4,99.6,99.8
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.8,26.4,35.4,47.8,54.2,65.6,72.6,80.0,89.0,93.8
23.6,32.0,39.0,59.0,70.2,80.4,87.6,93.2,95.0,96.4
41.6,63.6,77.6,85.6,93.4,96.0,97.4,98.4,99.0,99.6
79.0,86.8,92.6,95.0,97.2,97.6,96.6,98.4,99.2,99.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
17.2,25.0,34.0,47.4,62.8,71.4,80.6,87.2,92.0,95.6
93.6,96.2,97.4,99.4,99.6,100.0,100.0,100.0,100.0,100.0
3.8,6.8,5.4,13.8,16.6,15.0,14.6,17.8,20.6,20.8
36.6,54.8,64.2,75.8,85.0,90.4,93.8,95.2,97.2,99.0
14.2,26.0,34.6,33.8,45.2,56.2,72.0,81.2,90.0,93.8
99.4,99.8,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0
0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
42.4,64.0,77.8,84.4,90.6,92.6,95.6,97.6,98.8,99.4
99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
34.0,55.6,72.8,81.6,86.4,91.2,95.0,97.6,98.6,99.0
7.6,8.8,12.0,13.0,19.6,19.8,22.4,25.6,30.4,29.6
99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
94.0,97.8,99.0,99.4,99.4,99.2,99.8,100.0,100.0,100.0
61.2,76.4,84.8,87.6,91.8,95.8,97.4,98.2,99.4,99.6
3.4,8.6,12.2,14.0,17.8,17.4,16.2,20.4,17.4,16.2
94.8,97.8,98.6,99.2,99.2,99.8,99.8,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40.4,56.6,67.0,78.0,86.6,94.2,96.2,97.4,98.2,98.8
58.8,72.8,84.0,87.0,92.8,96.0,97.0,98.4,99.0,99.8
60.4,77.4,85.6,89.6,93.2,96.2,98.0,98.2,98.4,99.2
99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
7.0,10.2,11.6,9.0,9.8,6.6,7.8,11.4,10.2,12.8
2.0,5.4,10.2,8.0,10.4,19.0,18.4,18.8,29.4,27.4
17.0,27.8,30.0,46.2,55.4,66.0,77.8,85.0,92.2,95.0
17.0,30.0,40.2,46.2,55.6,67.6,75.0,83.8,89.6,93.2
0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0
64.2,81.6,87.2,93.0,97.0,98.2,99.2,99.2,99.8,100.0
13.4,24.6,30.2,39.0,43.6,57.0,63.6,75.6,85.4,92.6
1.4,1.6,2.2,0.8,2.6,0.6,2.4,0.0,0.8,0.6
59.4,77.4,86.0,91.8,94.6,97.4,98.4,98.6,99.8,99.6
99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
84.4,89.2,90.2,94.6,95.6,97.4,98.6,99.4,100.0,100.0
95.4,97.0,98.8,99.0,98.4,99.0,99.0,99.6,99.8,100.0
82.4,90.8,91.2,94.0,95.4,97.0,97.4,99.0,99.8,100.0
14.8,23.8,29.4,45.4,59.6,68.0,76.8,82.0,89.8,94.2
94.4,96.8,98.4,98.0,99.2,99.6,99.8,100.0,100.0,100.0
60.4,80.4,89.4,93.0,97.0,98.4,98.4,99.0,99.8,99.8
99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
98.0,99.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
17.8,26.2,37.6,49.4,55.4,69.6,79.0,86.6,90.2,93.8
0.4,0.4,0.2,1.8,0.8,0.6,1.6,0.8,1.8,3.8
